ipa_phoneme,english_translation,description,original_characters
bʰers-,"point, tip, top",*bʰers- 'point',bʰers-
bʰewdʰ-,"to be awake, be aware",etymological notes,bʰewdʰ-
bʰewg-,to flee,Reconstruction:Proto-Indo-European/bʰewg-,bʰewg-
bʰewgʰ-,"to bend, curve, arch",,bʰewgʰ-
bʰed-,to split,Reconstruction:Proto-Indo-European/bʰeyd-,bʰeyd-
bʰedʰ-,"to trust, to convince",The Sanskrit forms with long ā can be explained as an irregular development of earlier *ay < *ey/*oy.,bʰeydʰ-
bʰe₂-,"to shake, tremble; to fear, be afraid",etymological notes,bʰeyh₂-
bʰil-,"harmonious, friendly","Potentially an attributive verb ""to be harmonious, friendly."" Derivations in daughter languages can also be explained as derivations of a verb.",bʰil-
bʰle₁-,"to bleat, to cry","The Latin stem flā- may be from the zero-grade *bʰl̥h₁-, resulting in a root *flā- from which the other Latin forms were derived analogically.",bʰleh₁-
bʰle₃-,"bloom, flower",,bʰleh₃-
bʰlendʰ-,"to blend, to mix up; to make cloudy, opaque; blond, red-haired, ruddy (alternative/contested)",,bʰlendʰ-
bʰlewH-,to overflow,"Possible laryngeal extension of *bʰlew-, whence φλέω (to overflow, flood), itself possibly suffixed in *-éwti/*-ew- from *bʰel- (to blow (up), swell).",bʰlewH-
bʰleǵ-,to shine,"Likely an extension of *bʰel-,shiny.",bʰleyǵ-
bʰredʰ-,to wade,,bʰredʰ-
bʰreg-,to break,,bʰreg-
bʰreHg-,"to smell, to have a strong odour","If gmh bræhen from gem-pro *brēkijaną belongs here, then the laryngeal can be reconstructed as *bʰreh₁g-",bʰreHg-
bʰrekʷ-,"to condense, to crowd together","Reconstructed with a labiovelar to include la:frequēns, but due to this unusual root structure, possibly a qfa-sub borrowing.",bʰrekʷ-
bʰrem-,to make noise,etymological notes,bʰrem-
bʰrew₁-,"to boil, to brew","Extension of *bʰer-, to boil.",bʰrewh₁-
bʰrews-,to break,,bʰrews-
bʰreH-,to cut,etymological notes,bʰreyH-
bʰruHg-,to make use of; have enjoyment of,,bʰruHg-
bʰuH-,"to be, become, grow, appear","Some sources reconstruct full-grade forms *bʰewh₂- or *bʰweh₂-, on the basis of Italic and Celtic preterite and subjunctive stem. The generalisation of the zero grade in most forms has been linked to the occurrence of labial occlusive + labial semivowel in the full grade *bʰweh₂-. According to Jasanoff, this root has no full grade, and the laryngeal cannot be precisely determined.",bʰuH-
de₁-,to bind,Reconstruction:Proto-Indo-European/deh₁-,deh₁-
de₂-,"to share, divide",,deh₂-
de₂p-,"to sacrifice, to lose","Extension of *deh₂- ""to divide""",deh₂p-
de₂-,"to share, divide","Extension of *deh₂-||to share, divide.",deh₂y-
de₃-,to give,"Proto-Indo-European root meaning ""to give""",deh₃-
deḱ-,"to take, to perceive",etymological notes,deḱ-
del₁-,"to split, divide",,delh₁-
*dem-,"to build (up), to arrange, to put together",etymological notes,dem-
dem₂-,"to tame, domesticate",etymological notes,demh₂-
denḱ-,to bite,Reconstruction:Proto-Indo-European/denḱ-,denḱ-
der-,"to split, to separate; to tear, to crack, to shatter",,der-
derbʰ-,"to spin, to twist",,derbʰ-
derHgʰ-,"to tug, to stretch; to pluck","Rix and Derksen reconstruct a laryngeal in the coda because of the Balto-Slavic acute. LIV points that the Albanian data may have originated from *swer- (""to ache""). According to some (e.g. Trubachyov), the root is an extension of *der- (""to tear"").",derHgʰ-
derḱ-,to see,"Proto-Indo-European root meaning ""to see""",derḱ-
dew₂-,to fit,,dewh₂-
*deuk-,"to pull, to draw; to lead (i.e. to pull behind oneself)",etymological notes,dewk-
de₁-,to chase (away),Proto-Indo-European root,deyh₁-
deḱ-,"to point out, to show; to speak solemnly",etymological notes,deyḱ-
drem-,to run,Reconstruction:Proto-Indo-European/drem-,drem-
dwe₂-,"long, distant; to remove, separate",etymological notes,dweh₂-
dwe-,to fear,"Probably related to *dwóh₁ ""two"", with sense connection ""two"" > ""ambivalence, second thoughts"" > ""fear"".",dwey-
dʲew-,"to be bright, to shine; sky, heaven",,dyew-
dʰegʷʰ-,"to burn, warm, hot",,dʰegʷʰ-
dʰe₁-,"to do, to put, place",etymological notes,dʰeh₁-
dʰe₁-,"to suckle, nurse",etymological notes,dʰeh₁(y)-
dʰelbʰ-,"to dig, excavate",etymological notes,dʰelbʰ-
dʰengʰ-,"to cover, to overcast",,dʰengʰ-
dʰen₂-,"to set in motion, to flow",,dʰenh₂-
dʰer-,"to support, to hold",etymological notes,dʰer-
dʰerǵʰ-,"to bind fast, to be firm, to support, strong, robust","Possibly an extension of *dʰer-, to hold, hold fast, support.",dʰerǵʰ-
dʰer₃-,"to leap, spring",,dʰerh₃-
dʰers-,"to be bold, to dare","An *-s- extension of *dʰer- ""to hold, support"".",dʰers-
dʰew-,"to die, pass away",,dʰew-
dʰewbʰ-,"hazy], [unclear], [dark], [deep",,dʰewbʰ-
dʰewgʰ-,"to hit (as opposed to missing), to produce, to be strong, have force",etymological notes,dʰewgʰ-
dʰew₂-,"smoke, mist, haze",Seemingly related to *dʰwes- 'breath; dust; dusky color'.,dʰewh₂-
dʰewp-,deep,,dʰewp-
dʰews-,"to smoke, to breathe",,dʰews-
dʰeǵʰ-,"to knead, to form, to shape",etymological notes,dʰeyǵʰ-
dʰegʷ-,"to stick into, pierce; to dig; to plant; to set up, fasten",,dʰeygʷ-
dʰe₂-,"to perceive, see",,dʰeyh₂-
dʰgʷʰer-,to flow (away),etymological notes,dʰgʷʰer-
dʰgʷʰe-,"to decline, to perish","Reanalysed root of *dʰgʷʰéyti, from *dʰegʷʰ- ""to burn"" + *-éy-present suffix",dʰgʷʰey-
dʰlegʰ-,"to owe, be indebted to",,dʰlegʰ-
dʰregʰ-,"to run, to drag, to pull","some of the forms listed here as descendants have been argued to be either from unrelated roots, or to be related by means of being post-IE loanwords",dʰregʰ-
dʰre₂gʰ-,"to irritate, rough",,dʰreh₂gʰ-
dʰrewgʰ-,to deceive,etymological notes,dʰrewgʰ-
dʰwen-,to make a noise,,dʰwen-
dʰwer-,door,"Proto-Indo-European root meaning ""door""",dʰwer-
dʰwes-,"to breathe (in or out), breath, spirit, soul, dust, dusty, murky color","Seemingly related to *dʰewh₂- (to emit) smoke, vapor, mist, haze, with which there may be confusion in some descendants.",dʰwes-
ǵe₂r-,"to shout, call","Likely onomatopoeic. Compare *gerh₂- ~ *ǵerh₂-, with which there is some confusion.",ǵeh₂r-
ǵem-,to marry,,ǵem-
ǵembʰ-,"to bite, to chomp, to crunch","From Proto-Indo-European *ǵ-né-bʰ-ti ~ *ǵ-m̥-bʰ-énti, nasal inflix of a poorly contested root, *ǵebʰ-, possibly found in Proto-Celtic *gobbos (""muzzle, snout""), Gaulish *gauta (""cheek"").",ǵembʰ-
ǵen₁-,"to produce, to beget, to give birth",etymological notes,ǵenh₁-
ǵer₂-,"to grow old, to mature",etymological notes,ǵerh₂-
ǵews-,"to taste, try",,ǵews-
ǵne₃-,"to recognise, to know",etymological notes,ǵneh₃-
ǵwelH-,"to burn, to shine",,ǵwelH-
ǵew₁-,to chew,,ǵyewh₁-
ǵʰed-,to defecate,Reconstruction:Proto-Indo-European root meaning 'to defecate' or related to bodily functions.,ǵʰed-
ǵʰe₁-,"to leave, abandon",etymological notes,ǵʰeh₁-
ǵʰe₂-,"to yawn, gape",,ǵʰeh₂-
ǵʰel₃-,"to flourish, green, yellow",,ǵʰelh₃-
ǵʰengʰ-,"to walk, to step",etymological notes,ǵʰengʰ-
ǵʰer-,to enclose,,ǵʰer-
ǵʰerH-,"bowels, intestines",Reconstruction:Proto-Indo-European/ǵʰerH-,ǵʰerH-
ǵʰers-,"(to be) stiff, (to be) surprised","LIV and Mayrhofer reconstruct two separate roots *ǵʰers- and *g⁽ʷ⁾ʰers- for the material, but according to Lubotsky this isn't necessary as forms like घृषु can be explained by Weise's law (depalatalization before *r).",ǵʰers-
ǵʰes-,"hand, to take, give in exchange",,ǵʰes-
ǵʰew-,to pour,Reconstruction:Proto-Indo-European/ǵʰew-,ǵʰew-
ǵʰewd-,to pour,Extended from *ǵʰew-.,ǵʰewd-
ǵʰewH-,"to call on, invoke",Perhaps connected to the synonymous *gewH-.,ǵʰewH-
ǵʰe-,winter,The existence of this root is uncertain.,ǵʰey-
ǵʰle₁-,"to shine, glow; to be shining, glowing","Thought to be a reanalyzed root from *ǵʰel-/t1=to shine/*-éh₁ti/pos2=fientive verb suffix, whence also *ǵʰley-/t=to shine. Often mistakenly undifferentiated from *ǵʰelh₃-/t=to flourish; green, yellow.",ǵʰleh₁-
ǵʰle-,to shine,,ǵʰley-
ǵʰre₁d-,to sound,Reconstruction:Proto-Indo-European/ǵʰreh₁d-,ǵʰreh₁d-
ǵʰrem-,"to vex, torment; to be angry, upset",Depalatalization of *ǵ before *r in Indo-Iranian due to Weise's Law.,ǵʰrem-
ǵʰwer-,"wild, wild animal",,ǵʰwer-
gʷe₂-gʷe₃-,"to sing, to cry",Indo-Iranian and Balto-Slavic show the presence of an *-i- at several different locations in the root. The LIV suggests the reanalysis of a *ye- present as part of the root itself with later metathesis of *g⁽ʷ⁾Hi- to *g⁽ʷ⁾iH- and then normalization to *g⁽ʷ⁾eyH- ~ *g⁽ʷ⁾iH-.,geH-
el-,"to be cold, to freeze",,gel-
gelH-,"naked, head","Formally unable to be related to *kl̥H-; however, the superficial phonetic and semantic resemblance of the two roots, as well as the existence of words meaning ""bald"" (a non-basic vocabulary term) in various descendants of both roots via the same suffixing pattern of -wó-s, is striking.",gelH-
gem-,"to press (together), to grasp",etymological notes,gem-
gerbʰ-,to carve,,gerbʰ-
ger₂-,"to cry hoarsely, crane","Likely onomatopoeic. Compare *ǵeh₂r- (with which there is some confusion) *kurke (crane), Akkadian 𒆳𒄄𒄷 (kurku), Sumerian 𒆳𒄄𒄷 (kurki).",gerh₂-
gew-,"to bend, curve; arch, vault",etymological notes,gew-
gʷewH-,"to call, name; to invoke, call on; to cry, cry out",Perhaps connected to the synonymous *ǵʰewH-,gewH-
glew-,"to ball up, clump together; swelling, lump",An extension of *gel-; compare *gley-.,glew-
glewbʰ-,to split,Reconstruction:Proto-Indo-European/glewbʰ-,glewbʰ-
glebʰ-,to stick,Perhaps an extended form of *gley-.,gleybʰ-
gleH-,"to smear, putty; to stick, glue",etymological notes,gleyH-
gnewH-,to press,,gnewH-
gʰebʰ-,"to give, to take",,gʰebʰ-
gʰed-,"to find, to hold, to seize, to take",etymological notes,gʰed-
gʰedʰ-,"to join, to unite, to suit",,gʰedʰ-
gʰegʰuǵʰ-,cuckoo,"Derived from a repeating root *gʰe-gʰu-ǵʰ-, of onomatopoeic origin.",gʰegʰuǵʰ-
gʰe₁bʰ-,"to grab, take","The surface ablaut a ~ ē is somewhat unusual, but Italo-Celtic *a can result from ""syllabic"" *H̥, thus *h₁ ~ *eh₁ appears to be the best match. The instances of full-grade ē may be analogical, however, so the laryngeal cannot be reconstructed with certainty.",gʰeh₁bʰ-
gʰel-,"to call, to chant, to shout",*gʰel-,gʰel-
gʰeldʰ-,"to repay, pay","Traditionally considered separate extensions (or suffixed forms) of a root *gʰel-, namely *gʰel-t- in Germanic and *gʰel-d⁽ʰ⁾- in Slavic, not taking into account the Celtic. Some authors maintain that *-t- (> Germanic *-þ-) is necessary to explain such Nordic forms as gjalla.",gʰeldʰ-
gʰer-,to yearn for,Reconstruction:Proto-Indo-European/gʰer-,gʰer-
gʰerdʰ-,"to enclose, to encircle; enclosure, fence, belt",,gʰerdʰ-
gʰedʰ-,to yearn for,etymological notes,gʰeydʰ-
gʰle₂dʰ-,"bright, shining; smooth","Possible reanalyzed root of *gʰleh₂-*-dʰh₁eti, metathesized from *ǵʰelh₂- 'to shine', itself apparently related to *ǵʰelh₃- 'to flourish; green, yellow'.",gʰleh₂dʰ-
gʰreb₂-,"to seize, grab; to dig, rake","Rix reconstructs *gʰrebh₂- 'seize' and tentatively *gʰrebʰ- 'dig'. Pokorny reconstructs *gʰrebʰ-, *gʰerbʰ- for both meanings. Derksen derives *grabiti from *gʰreb- rather than *gʰrebʰ- due to Winter's law.",gʰrebh₂-
gʰre₁-,to grow (of plants?),,gʰreh₁-
gʰrem-,"to roar, rumble; to thunder; to be angry",An old sound symbolic root according to Kroonen.,gʰrem-
gʰrendʰ-,"beam, plank","Given the variety of conflicting reconstructions and fairly wide semantic range, existence of this root is uncertain.",gʰrendʰ-
gʰre-,"to smear, to paint, to streak","Extended from the Proto-Indo-European root *gʰer- meaning ""to rub"".",gʰrey-
gʷe₁w-,"to increase, gain",,gʷeh₁w-
gʷe₂-,"to step, to go, to stand","Perhaps some variation or gradation of *gʷem- seen also on *mendʰ- - *meh₂dʰ-, *med- - *meh₁-/*meh₁d-.",gʷeh₂-
gʷe₂bʰ-,"to be deep, to submerge",,gʷeh₂bʰ-
gʷelbʰ-,the womb,,gʷelbʰ-
gʷelH-,"to throw, reach, pierce; to hit by throwing",On the basis of Celtic nasal-infix present *balnīti and several Greek derived terms like βέλεμνον the laryngeal may be reconstructed as *h₁.,gʷelH-
gʷel₂-,acorn,"Proto-Indo-European root meaning ""acorn""",gʷelh₂-
gʷem-,to step,"Perhaps some variation or gradation of *gʷeh₂- seen also on *mendʰ- - *meh₂dʰ-, *med- - *meh₁-/*meh₁d-.",gʷem-
gʷerH-,"to express approval; praise, to elevate",,gʷerH-
gʷer₃-,"to swallow, devour, eat",etymological notes,gʷerh₃-
gʷet-,"resin, gum",,gʷet-
gʷewH-,to defecate,etymological notes,gʷewH-
gʷe-,"to win, to conquer; force",etymological notes,gʷey-
gʷe₃-,to live,,gʷeyh₃-
gʷre₂-,heavy,Contrasts with *h₁lengʷʰ- 'light',gʷreh₂-
gʷʰedʰ-,"to request, pray, ask for",,gʷʰedʰ-
gʷʰen-,"to strike, slay, kill",etymological notes,gʷʰen-
gʷʰer-,"to be warm, to become warm",etymological notes,gʷʰer-
gʷeldʰ-,"to be greedy, hungry",,g⁽ʷ⁾eldʰ-
₁ed-,to eat,Reconstruction:Proto-Indo-European root,h₁ed-
₁eg-,to lack,,h₁eg-
₁eǵ-,to say,,h₁eǵ-
₁egʷʰ-,to drink,etymological notes,h₁egʷʰ-
₁e₁t-,"to breathe, breath","Possibly onomatopoeic, compare *h₂enh₁- to breathe.",h₁eh₁t-
₁el-,"greyish or brownish coloration, deer, elk, various tree species with bright bark",Reconstruction:Proto-Indo-European root,h₁el-
₁em-,"to take, to distribute","Possibly related to *nem-, to take or give one's due",h₁em-
₁engʷ-,"to burn, fire","Schindler, J. (1975). L'apophonie des thèmes indo-européens en -r/n. Bulletin de la société de linguistique de Paris, 70.",h₁engʷ-
₁ep-,"to grab, snatch, get",Alternative reconstruction of the root *h₂ep-; see there for more,h₁ep-
₁er-,earth,,h₁er-
₁erkʷ-,"to praise, to shine; to sound bright",,h₁erkʷ-
₁ers-,to flow,etymological notes,h₁ers-
₁es-,to be,,h₁es-
₁ewgʰ-,basic meaning(s),"from underlying */h₁ewgʷʰ-/, the schwebeablaut (vowel metathesis) variant of *h₁wegʷʰ-, with the change *wgʷʰ > *wgʰ due to the Boukolos rule",h₁ewgʰ-
₁ewH-,"to help, to assist; to protect",,h₁ewH-
₁ews-,to burn,Reconstruction:Proto-Indo-European/h₁ews-,h₁ews-
₁e-,to go,etymological notes,h₁ey-
₁eg-,"ice, frost",,h₁eyg-
₁eǵʰ-,"to desire, long for","The initial laryngeal must be *h₁, not the *h₂ suggested by Beekes, or else the Celtic reflexes of the verb would have the wrong vowel; the Celtic verb would surface as **yaigeti with *h₂ and **yoigeti with *h₃. Many authors have left the laryngeal unspecified before the Celtic reflexes were established as derived from this root.",h₁eyǵʰ-
₁eH-,"ice, frost",Reconstruction:Proto-Indo-European root for atmospheric phenomena and water,h₁eyH-
₁eHw-,"yew, willow, grapes, vine",,h₁eyHw-
₁es₂-,"to strengthen, to propel",,h₁eysh₂-
₁lengʰ-,to revile?,Reconstruction:Proto-Indo-European/h₁lengʰ-,h₁lengʰ-
₁lengʷʰ-,light; swift; brief,Reconstruction:Proto-Indo-European root,h₁lengʷʰ-
₁lewdʰ-,"to grow, people",etymological notes,h₁lewdʰ-
₁neḱ-,"to receive, take away","Conflated with *h₂neḱ- 'to reach, attain' by Pokorny.",h₁neḱ-
₁op-,to desire,This word may be an intensive derived from *h₁ep-.,h₁op-
₁rebʰ-,"to cover, to roof; rib",,h₁rebʰ-
₁regʷ-,to be dark,,h₁regʷ-
₁re₁-₁er₁-,to row,etymological notes,h₁reh₁-
₁re₁p-,"to take away, snatch",,h₁reh₁p-
₁rem-,to rest,,h₁rem-
₁rewdʰ-,red,,h₁rewdʰ-
₁rewg-,"to belch, to roar",onomatopoeic,h₁rewg-
₁re-,"to rise, arise","Uncertain if related to *h₃reyH- 'to churn, swirl'.",h₁rey-
₁rep-,"to tear, tear down","Compare also *Hrewp-, to break, tear (up).",h₁reyp-
₁wed-,dowry,,h₁wed-
₁wegʷʰ-,"to promise, to vow; to praise",,h₁wegʷʰ-
₁we₂-,"to be/become empty, to be extinguished",,h₁weh₂-
₁wer-,broad,,h₁wer-
₁wers-,to rain,Reconstruction:Proto-Indo-European/h₁wers-,h₁wers-
₁wedʰ₁-,"to separate, divide","From a univerbation of *dwi-'apart' and *dʰeh₁-'to put, place'. The initial *d became *h₁ due to dissimilation; compare *wídḱm̥ti > *h₁wídḱm̥ti 'twenty'.",h₁weydʰh₁-
₁aǵ-,"to sacrifice, to worship",*h₁i̯ag̑-,h₁yaǵ-
₂eg-,"to sin, violate, commit a crime",,h₂eg-
₂eǵ-,to drive,,h₂eǵ-
₂egʰ-,"to be upset, afraid",,h₂egʰ-
₂e₃-,"to be hot, to burn","This may actually be the same root as *h₂eh₁-, considering there is uncertainty concerning the vocalic outcomes of a conflict in coloring rules from two different laryngeals. Moreover, the reconstruction of *h₂eh₃mós is highly controversial, as is its affiliation with words meaning ""hot, heat, burn"", and several of its listed descendants are not universally agreed to reflect the same root.",h₂eh₃-
₂eHs-,"to be [[dry]], to dry; to [[burn]], to [[glow]]; [[hearth]]; [[ashes",Appears to be suffixed/extended from the root *h₂eh₁- as found in cognates; alternatively from *h₂ed-s- with dissimilation.,h₂eHs-
₂eḱ-,sharp,,h₂eḱ-
₂el-,"to grow, nourish",,h₂el-
₂elgʷʰ-,"to cost, have value, be worth",,h₂elgʷʰ-
₂el₂-,"to wander, roam",,h₂elh₂-
₂ems-,"to give birth, beget",*h₂ems-,h₂ems-
₂endʰ-,to bloom,,h₂endʰ-
₂eng-,"curve], [bend",,h₂eng-
₂enǵʰ-,"to constrict, tighten, compress; narrow, tight; distressed, anxious","Hittite ḫamank- 'to tie' suggests that the earlier form should be reconstructed not as *h₂enǵʰ- but as *h₂emǵʰ-, which weakens the argument for a (genetic) relation to Proto-Uralic *aŋke 'painfully constricted'. Perhaps related to *h₂eng-, *h₂enk-, *h₂eḱ-",h₂enǵʰ-
₂en₁-,to breathe,Likely of onomatopoeic origin.,h₂enh₁-
₂enk-,"curve], [bend",,h₂enk-
₂ent-,"face, forehead, front","Perhaps extended from *h₂en-||on, onto",h₂ent-
₂ep-,"water, body of water","Proto-Indo-European root meaning ""water""",h₂ep-
₂er-,"to fit, to fix, to put together, to slot",,h₂er-
₂erǵ-,"white, argent",glittering,h₂erǵ-
₂er₃-,to plough,Proto-Indo-European root related to agriculture and ploughing,h₂erh₃-
₂erk-,"to protect, guard, hold, lock",,h₂erk-
₂et-,grass,,h₂et-
₂ew-,"to enjoy, to consume",,h₂ew-
₂ewg-,"to increase, to enlarge; to become strong","From Proto-Indo-European *h₂weg-, of which the zero grade *h₂ug- was reanalysed as having the ablaut vowel before the -w- rather than after it, creating a new variant form of the root. The original root remained in use, however.",h₂ewg-
₂ews-,to become light; to dawn,etymological notes,h₂ews-
₂e-,"vital force], [life], [age], [eternity","Sometimes included is {{noncog|hit|𒉺𒀀𒄿|tr=pa-a-i|ts=pāi}}, assuming it contains the prefix {{m|hit|𒁉𒂊-|tr=pé-e-|ts=pe-}}, but this is made obsolete by the derivation of the Hittite from {{m|ine-pro|*h₁ep-|t=to seize}}. The identification of the Celto-Germanic isogloss meaning ""{{l|en|oath}}"" is uncertain, and it may involve borrowing between these two branches. It is more commonly reconstructed as {{m|ine-pro|*h₁óytos}}, from {{m|ine-pro|*h₁ey-|t=to go}}, without the Greek. Beekes adduces the Greek under the assumption of a connection to the other Greek words belonging to {{m|ine-pro||*h₂ey-}}, and comparing the semantics of {{cog|ae-yng|𐬀𐬉𐬙𐬀|t=punishment}}",h₂ey-
₂edʰ-,"to ignite, fire","Possibly reanalyzed from a compound or suffixed verb *h₂éydʰh₁eti, from *h₂ey- to burn; fire and *-dʰh₁eti to put, set (later resultative suffix); for the root, see also *h₂éyos (copper?) metal, ore, *h₂ey- day, *h₂éyr̥ day, morning and *aisǭ fireplace. Alternatively, the root can be identified as *h₁ay- to be warm, hot, but this root is also contested and poorly evidenced.",h₂eydʰ-
₂eḱ-,"to obtain, come in possession of, to possess, to own",etymological notes,h₂eyḱ-
₂es-,"to wish, to request, to search",,h₂eys-
₂esd-,"to laud, honour",An extension of *h₂eys-||to wish,h₂eysd-
₂ger-,"to gather, flock, herd",,h₂ger-
₂leg-,to care for,,h₂leg-
₂lek-,to protect,,h₂lek-
₂lewgʰ-,"to announce, tell publicly",etymological notes,h₂lewgʰ-
₂lebʰ-,"to pour, anoint; to consecrate?",,h₂leybʰ-
₂leH-,to smear,,h₂leyH-
₂me₁-,"to mow, reap",etymological notes,h₂meh₁-
₂melǵ-,"to milk, milk",,h₂melǵ-
₂megʷ-,"to change, exchange; to change places → to wander",Perhaps an extension of *mey-/*h₂mey-.,h₂meygʷ-
₂neḱ-,"to reach, to attain","Conflated with *h₁neḱ- 'to receive, take away' by Pokorny.",h₂neḱ-
₂re₁-,"to think, to reason; to arrange",Reanalyzed root of *h₂er-/éh₁ti 'to join; to prepare',h₂reh₁-
₂rew-,"to shine, glow",etymological notes,h₂rew-
₂re-,"to count, count out; to arrange","Reanalysed root of *h₂réyti, from *h₂reh₁- 'to think; to count' + *-éy-present suffix",h₂rey-
₂sews-,to be dry,etymological notes,h₂sews-
₂sewt-,"to seethe, boil","Perhaps a variant of *(h₂)sew- (to burn), as suggested by Kroonen (2013).",h₂sewt-
₂weg-,"to increase, to enlarge",,h₂weg-
₂we₁-,to blow (of wind),etymological notes,h₂weh₁-
₂wel₁-,"to rule, strong, powerful",,h₂welh₁-
₂werg-,"to turn, turn around",,h₂werg-
₂wes-,"to dwell, live, reside; to stay, spend the night",,h₂wes-
₂ew-,"straight, upright, right; right, justice, law","Back-formation from the noun *h₂óyu, from the root *h₂ey- 'vital force, life'",h₂yew-
₃ed-,"to smell, stink","The ""stink"", ""hate"", and ""bite"" senses may all be etymologically equivalent and stem from an original meaning of ""sting"".",h₃ed-
₃ekʷ-,"to see, eye",,h₃ekʷ-
₃el₁-,"to fall, to collapse; to destroy/be destroyed",,h₃elh₁-
₃em₃-,"to grab, to grasp, to seize, to take hold, tackle, touch; to swear (an oath)",,h₃emh₃-
₃engʷ-,"to smear, to anoint","LIV reconstructs *h₂ instead of *h₃ on account of {{cog|grc|-αμβος}} in {{m|grc|θρίαμβος}} and the like. The o-grade in {{cog|la|unguō}} must then be analogical from {{cog|la|unguen||fat, cream}}.",h₃engʷ-
₃en₂-,"to call, summon; to assign (to a role or task); to onerate, charge",,h₃enh₂-
₃ep-,"to work, toil, make; ability, force",,h₃ep-
₃er-,"to move, to stir; to rise, to spring; to quarrel, fight",,h₃er-
₃erbʰ-,"to turn; to change allegiance, status, ownership; inheritance (i.e. to change ownership)",etymological notes,h₃erbʰ-
₃erdʰ-,"to increase, grow; upright, high",Possibly reanalyzed root of *h₃er- 'to rise' + *-dʰh₁eti 'resultative verbal suffix',h₃erdʰ-
₃ew-,to put clothes or shoes on,,h₃ew-
₃lemH-,"to break, weak, broken, soft",,h₃lemH-
₃merǵ-,"to wipe off, wipe clean","Securely attested only in Indo-Iranian and Greek. Reconstructions with initial *h₂ are based on the inclusion of ἀμέργω, though it is unclear how to reconcile the different vocalisms.",h₃merǵ-
₃meǵʰ-,to urinate,"Bodily functions, Bodily fluids",h₃meyǵʰ-
₃megʰ-,"fog, mist, cloud; to drizzle",,h₃meygʰ-
₃nebʰ-,"hub, navel",etymological notes,h₃nebʰ-
₃ne₂-,to enjoy,,h₃neh₂-
₃ned-,"to revile, insult",etymological notes,h₃neyd-
₃reǵ-,"to straighten, to righten",etymological notes,h₃reǵ-
₃rew-,"to run, to hurry","extension of *h₃er- 'to move, stir'",h₃rew-
₃rewH-,"to roar, to howl, to shout",onomatopoeic,h₃rewH-
₃rewk-,"to dig, to till (soil)","Perhaps an extension of *Hrew-||to tear out, dig out",h₃rewk-
₃reH-,"to move, set in motion; to flow, stream (of water); to boil, churn","Extended from *h₃er- 'to move, stir'",h₃reyH-
₃ebʰ-,"to enter into, penetrate; to copulate",etymological notes,h₃yebʰ-
He₃l-,"to bow, to bend; elbow",etymological notes,Heh₃l-
He₃s-,ash tree,The Proto-Indo-European root for the ash tree.,Heh₃s-
Hre₁dʰ-,"to think, to arrange, to succeed, accomplish",Possible reanalyzed root of *h₂reh₁- 'to think; to count' and *-dʰh₁eti,Hreh₁dʰ-
Hresg-,"to weave, knit","Proto-Indo-European root meaning 'to weave, knit'",(H)resg-
Hret₂-,to run,"Root-final *h₂ is reconstructed on the basis of the aspirated dental in Indo-Iranian and perhaps Albanian, but could instead be rebuilt from an original *Hrét-h₂ ~ Hr̥t-és.",Hreth₂-
Hrew-,"to tear out, dig out, open, acquire",,Hrew-
